"distance","ratio","lower_ratio","upper_ratio","country"
0.121502787636237,2.47314264387098,2.37289498938125,2.57339029836071,"sweden"
0.187460620864757,3.55016908988836,1.84071839100898,9.70003981310773,"sweden"
0.28762831375753,2.80500350475557,1.70924338323363,4.62117503573438,"sweden"
0.414067816003611,2.08883154989464,1.28524671800787,3.54016786857675,"sweden"
0.590090459167067,2.0167713040544,1.54815752251853,3.12165853092689,"sweden"
0.874646013217633,2.00807484351815,1.25924223320806,2.99641545100887,"sweden"
1.25587277918585,1.8629875814377,1.43846236126589,2.7393869043177,"sweden"
1.79604574560686,1.65582622472138,1.27325934125895,2.28536061563004,"sweden"
2.64302083768507,1.62501061016274,1.28245207321361,2.08486747629273,"sweden"
3.8406194399519,1.54105888132069,1.26962355062945,1.97831806384365,"sweden"
5.63285097663696,1.52178412850917,1.25404531127497,1.90702420061169,"sweden"
8.30080387195157,1.44669577002795,1.21865708089594,1.79469444521208,"sweden"
12.1324356536775,1.420280330737,1.23205807593316,1.70747633307978,"sweden"
17.7237975087963,1.37517588306831,1.21720852012816,1.60564228237009,"sweden"
25.6405814467942,1.30738761526251,1.16661852869362,1.50920197963887,"sweden"
37.8466037210573,1.30358811039913,1.17603840826434,1.46631395351794,"sweden"
55.8665194730372,1.26282833164493,1.16229065003734,1.4256700096594,"sweden"
80.8216551230915,1.2757427428645,1.16086760676773,1.42012078691758,"sweden"
119.703579575867,1.25362972593358,1.16039355439715,1.37565434856037,"sweden"
177.960969642881,1.24908714276339,1.17264372288072,1.36596721203874,"sweden"
248.966764375115,1.25309301257588,1.17961590765894,1.34014794012469,"sweden"
392.121459613729,1.27337518070206,1.21995200042125,1.35698180564105,"sweden"
525.724438765854,1.30448179139626,1.22142594967392,1.41007265159606,"sweden"
787.006944834034,1.30306942751699,1.24522408148084,1.50720562319427,"sweden"
1056.12514759882,1.31496476026805,1.30931207726105,1.32061744327504,"sweden"
0.248573634883566,8.04590559629067,4.02295279814534,8.04590559629067,"netherlands"
0.333330798004681,4.50003422719714,1.66707426837779,5.18184934434682,"netherlands"
0.586145764836272,2.5484051779094,1.67925526928103,3.69589680609517,"netherlands"
0.87549676612418,2.07397201084813,1.2579859011607,2.76916894799235,"netherlands"
1.25862623407461,1.84816348928612,1.45638191827542,2.54769246285462,"netherlands"
1.81028650379714,1.67039216856213,1.30127409654943,2.25863403422629,"netherlands"
2.63295628637644,1.59516110554033,1.27379451791595,2.02951182557863,"netherlands"
3.81649982271087,1.45808853222486,1.23334013390048,1.8392495610629,"netherlands"
5.58333963813205,1.45078132565948,1.22958490111888,1.76959668225069,"netherlands"
8.28190458297392,1.42739008062819,1.22077203222925,1.69756159703312,"netherlands"
12.0370325966223,1.42146667303606,1.24092958944687,1.62793028772367,"netherlands"
17.7142839748245,1.39750431075976,1.24746727215777,1.59990402075998,"netherlands"
25.6521992784836,1.35697314474237,1.22765027797979,1.52926757469108,"netherlands"
37.6307622719023,1.32542760073636,1.22133691554688,1.4816862324646,"netherlands"
54.3064745259719,1.30179996913479,1.20106070896535,1.46472658105815,"netherlands"
79.7221516849836,1.2933802801851,1.18790066884972,1.39673441283755,"netherlands"
115.756877537133,1.29026372001236,1.19827236074727,1.38692252262959,"netherlands"
167.128351958328,1.25088593630607,1.18921601985282,1.32361298975217,"netherlands"
223.15442547133,1.22506760692278,1.15328846506422,1.24512218102558,"netherlands"
