"distance","ratio","lower_ratio","upper_ratio"
0.120453015603829,4.79660286929016,4.08598003726022,6.0726551626215
0.162514177321443,3.96673591076334,3.43460793136734,4.85226264268508
0.218579203365891,3.29364884431881,2.88772516888262,4.10865678370036
0.295119832096871,2.80998189803004,2.4810097072686,3.47521290663647
0.40185476479193,2.42135100633036,2.16157358998177,2.9493576110917
0.544902866298893,2.11999593143673,1.90670757040381,2.50819878000475
0.739432751082664,1.90242488612692,1.72431900135444,2.23275696606243
1.00651557369241,1.73601698032782,1.58620029189537,2.00178961056509
1.36819181131791,1.59935313989757,1.47516032314559,1.80561767147313
1.85404209140742,1.50174666864429,1.38944822808352,1.67016696944285
2.52070735948887,1.42496328688927,1.32431198700064,1.56816822449683
3.41380310224419,1.37126216322071,1.28021113912156,1.49858700011895
4.64995429356226,1.33289072425393,1.24972731149795,1.44857697230362
6.25822257978585,1.3060727307684,1.22564985519229,1.4088966927976
8.46327651239779,1.27620212856164,1.2013472596703,1.3698141596606
11.3558095131737,1.25190467912935,1.17936292792764,1.34459290187308
15.2998855929206,1.22690292584341,1.16169727941837,1.31325177553888
20.8661122452853,1.21736474303161,1.15390645765114,1.31715781814422
28.1692734397802,1.22289816479176,1.15636227288596,1.34812027585835
38.883420212734,1.21719001713377,1.13744718424734,1.36200779409059
51.220033614479,1.21792973335951,1.14969340533976,1.31162522632556
74.1414826905226,1.20853457598796,1.15692132483726,1.26079989592661
97.3977134410476,1.1631840152616,1.13204748864586,1.20674005495473
119.640719303783,1.09746202469749,1.01756463328031,1.1512961136507
162.083760637202,1.17570226807942,1.15798062495446,1.17709132148683
221.953684393563,1.17429296215374,1.11186092687761,1.18555610419834
